"","INSTNM","SCH_DEG","HCM2","MAIN","NUMBRANCH","PREDDEG","HIGHDEG","CONTROL","REGION","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY"
"3374","Pellissippi State Community College",2,0,1,1,2,2,1,5,13,10,14,"0","0","0","0","0","0","0","0","0"
"3375","Southern Adventist University",3,0,1,1,3,4,2,5,12,5,4,"0","0","0","0","0","0","0","0","0"
"3376","Southern College of Optometry",3,0,1,1,4,4,2,5,20,2,11,"0","0","0","0","0","0","0","0","0"
"3377","Tennessee Wesleyan University",3,0,1,1,3,4,2,5,16,5,17,"0","0","0","0","0","0","0","0","0"
"3378","The University of Tennessee-Chattanooga",3,0,1,1,3,4,1,5,10,7,9,"0","0","0","0","0","0","0","0","0"
"3379","The University of Tennessee-Knoxville",3,0,1,1,3,4,1,5,8,9,9,"0","0","0","0","0","0","0","0","0"
"3380","The University of Tennessee-Martin",3,0,1,1,3,4,1,5,14,7,6,"0","0","0","0","0","0","0","0","0"
"3381","Fountainhead College of Technology",2,0,1,1,2,3,3,5,22,5,16,"0","0","0","0","0","0","0","0","0"
"3382","Tennessee School of Beauty of Knoxville Inc",1,0,1,1,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"3383","Tennessee State University",3,0,1,1,3,4,1,5,9,5,7,"1","0","0","0","0","0","0","0","0"
"3384","Tennessee Technological University",3,0,1,1,3,4,1,5,9,7,5,"0","0","0","0","0","0","0","0","0"
"3385","Trevecca Nazarene University",3,0,1,1,3,4,2,5,10,16,3,"0","0","0","0","0","0","0","0","0"
"3386","Northeast State Community College",2,0,1,1,2,2,1,5,29,10,13,"0","0","0","0","0","0","0","0","0"
"3387","Tusculum University",3,0,1,1,3,4,2,5,12,5,4,"0","0","0","0","0","0","0","0","0"
"3388","Union University",3,0,1,1,3,4,2,5,10,17,3,"0","0","0","0","0","0","0","0","0"
"3389","Vanderbilt University",3,0,1,1,3,4,2,5,8,8,10,"0","0","0","0","0","0","0","0","0"
"3390","Volunteer State Community College",2,0,1,1,2,2,1,5,2,10,14,"0","0","0","0","0","0","0","0","0"
"3391","Walters State Community College",1,0,1,1,1,2,1,5,2,10,13,"0","0","0","0","0","0","0","0","0"
"3392","West Tennessee Business College",1,0,1,1,1,1,3,5,3,12,2,"0","0","0","0","0","0","0","0","0"
"3393","William Moore College of Technology",1,0,1,1,1,2,2,5,4,3,2,"0","0","0","0","0","0","0","0","0"
"3394","Abilene Christian University",3,0,1,1,3,4,2,6,11,6,7,"0","0","0","0","0","0","0","0","0"
"3395","Alvin Community College",2,0,1,1,2,2,1,6,31,3,13,"0","0","0","0","0","1","0","0","0"
"3396","Amarillo College",2,0,1,1,2,2,1,6,29,3,14,"0","0","0","0","0","1","0","0","0"
"3397","Amberton University",3,0,1,1,3,4,2,6,11,13,16,"0","0","0","0","0","0","0","0","0"
"3398","Angelina College",1,0,1,1,1,2,1,6,33,3,13,"0","0","0","0","0","1","0","0","0"
"3399","Angelo State University",3,0,1,1,3,4,1,6,11,5,6,"0","0","0","0","0","1","0","0","0"
"3400","Arlington Baptist University",3,0,1,1,3,4,2,6,18,5,18,"0","0","0","0","0","0","0","0","0"
"3401","Arlington Career Institute",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3402","The Art Institute of Houston",3,0,1,3,3,3,3,6,25,15,16,"0","0","0","0","0","0","0","0","0"
"3403","Austin College",3,0,1,1,3,4,2,6,15,8,4,"0","0","0","0","0","0","0","0","0"
"3404","Austin Community College District",2,0,1,1,2,2,1,6,30,3,15,"0","0","0","0","0","1","0","0","0"
"3405","Austin Presbyterian Theological Seminary",3,0,1,1,4,4,2,6,18,2,11,"0","0","0","0","0","0","0","0","0"
"3406","Baldwin Beauty School-South Austin",1,0,1,2,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3407","Baptist Health System School of Health Professions",2,0,1,1,2,3,3,6,20,5,16,"0","0","0","0","0","0","0","0","0"
"3408","Baptist Missionary Association Theological Seminary",3,0,1,1,3,4,2,6,18,13,16,"0","0","0","0","0","0","0","0","0"
"3409","Baylor College of Medicine",3,0,1,1,4,4,2,6,19,2,11,"0","0","0","0","0","0","0","0","0"
"3410","Baylor University",3,0,1,1,3,4,2,6,9,8,9,"0","0","0","0","0","0","0","0","0"
"3411","Coastal Bend College",1,0,1,1,1,2,1,6,34,3,13,"0","0","0","0","0","1","0","0","0"
"3412","Blinn College",2,0,1,1,2,2,1,6,2,10,15,"0","0","0","0","0","0","0","0","0"
"3413","Remington College-Dallas Campus",1,0,1,15,1,3,2,6,17,4,16,"0","0","0","0","0","1","0","0","0"
"3414","Vet Tech Institute of Houston",2,0,1,1,2,2,3,6,3,12,2,"0","0","0","0","0","0","0","0","0"
"3415","Brazosport College",1,0,1,1,1,3,1,6,17,13,19,"0","0","0","0","0","1","0","0","0"
"3416","Brookhaven College",2,0,1,1,2,2,1,6,31,3,14,"0","0","0","0","1","1","0","0","0"
"3417","Cedar Valley College",1,0,1,1,1,2,1,6,31,3,13,"0","1","0","0","0","1","0","0","0"
"3418","Central Texas College",2,0,1,1,2,2,1,6,24,3,14,"0","0","0","0","0","0","0","0","0"
"3419","Charles and Sues School of Hair Design",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3420","Cisco College",2,0,1,1,2,2,1,6,29,10,13,"0","0","0","0","0","1","0","0","0"
"3421","Clarendon College",2,0,1,1,2,2,1,6,33,3,12,"0","0","0","0","0","1","0","0","0"
"3422","Concordia University Texas",3,0,1,1,3,4,2,6,11,17,19,"0","0","0","0","0","1","0","0","0"
"3423","Conlee's College of Cosmetology",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3424","North Central Texas College",2,0,1,1,2,2,1,6,29,3,14,"0","0","0","0","0","0","0","0","0"
"3425","Texas A & M University-Corpus Christi",3,0,1,1,3,4,1,6,9,5,9,"0","0","0","0","0","1","0","0","0"
"3426","Cosmetology Career Center LLC",1,0,1,3,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3427","Dallas Baptist University",3,0,1,1,3,4,2,6,10,17,6,"0","0","0","0","0","0","0","0","0"
"3428","Dallas Christian College",3,0,1,1,3,3,2,6,18,15,17,"0","0","0","0","0","0","0","0","0"
"3429","Dallas Institute of Funeral Service",2,0,1,1,2,2,2,6,5,12,2,"0","0","0","0","0","0","0","0","0"
"3430","Dallas Theological Seminary",3,0,1,1,4,4,2,6,18,2,11,"0","0","0","0","0","0","0","0","0"
"3431","University of Dallas",3,0,1,1,3,4,2,6,11,8,4,"0","0","0","0","0","0","0","0","0"
"3432","Del Mar College",2,0,1,1,2,2,1,6,32,3,14,"0","0","0","0","0","1","0","0","0"
"3433","East Texas Baptist University",3,0,1,1,3,4,2,6,16,7,4,"0","0","0","0","0","0","0","0","0"
"3434","Texas A&M University-Texarkana",3,0,1,1,3,4,1,6,12,17,19,"0","0","0","0","0","0","0","0","0"
"3435","Texas A & M University-Commerce",3,0,1,1,3,4,1,6,10,17,6,"0","0","0","0","0","0","0","0","0"
"3436","Eastfield College",2,0,1,1,2,2,1,6,24,3,14,"0","0","0","0","0","1","0","0","0"
"3437","El Centro College",2,0,1,1,2,2,1,6,34,3,13,"0","0","0","0","0","1","0","0","0"
"3438","El Paso Community College",2,0,1,1,2,2,1,6,2,3,15,"0","0","0","0","0","1","0","0","0"
"3439","Western Technical College",2,0,0,2,1,2,3,6,32,12,2,"0","0","0","0","0","0","0","0","0"
"3440","Western Technical College",2,0,1,2,2,2,3,6,4,12,12,"0","0","0","0","0","0","0","0","0"
"3441","Episcopal Theological Seminary of the Southwest",1.92616959064327,0,1,1,4,4,2,6,18,2,11,"0","0","0","0","0","0","0","0","0"
"3442","Exposito School of Hair Design",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3443","Miami International University of Art & Design-Art Institute Dallas",3,0,0,15,3,4,3,6,25,15,16,"0","0","0","0","0","0","0","0","0"
"3444","Fort Worth Beauty School",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3445","Frank Phillips College",1,0,1,1,1,2,1,6,24,3,12,"0","0","0","0","0","1","0","0","0"
"3446","Galveston College",2,0,1,2,2,2,1,6,30,3,12,"0","0","0","0","0","1","0","0","0"
"3447","Grayson College",2,0,1,1,2,2,1,6,30,3,13,"0","0","0","0","0","0","0","0","0"
"3448","Hallmark University",2,0,1,1,2,4,2,6,17,9,16,"0","0","0","0","0","1","0","0","0"
"3449","Hardin-Simmons University",3,0,1,1,3,4,2,6,12,7,4,"0","0","0","0","0","0","0","0","0"
"3450","Trinity Valley Community College",2,0,1,1,2,2,1,6,31,10,13,"0","0","0","0","0","0","0","0","0"
"3451","Hill College",2,0,1,1,2,2,1,6,31,3,13,"0","0","0","0","0","0","0","0","0"
"3452","Houston Baptist University",3,0,1,1,3,4,2,6,11,7,3,"0","0","0","0","0","1","0","0","0"
"3453","University of Houston-Clear Lake",3,0,1,1,3,4,1,6,11,13,5,"0","0","0","0","0","1","0","0","0"
"3454","Houston Community College",2,0,1,1,2,2,1,6,2,3,15,"0","0","0","0","1","1","0","0","0"
"3455","University of Houston-Downtown",3,0,1,1,3,4,1,6,11,13,5,"0","0","0","0","0","1","0","0","0"
"3456","University of Houston-Victoria",3,0,1,1,3,4,1,6,11,13,19,"0","0","0","0","0","1","0","0","0"
"3457","University of Houston",3,0,1,1,3,4,1,6,8,17,8,"0","0","0","0","1","1","0","0","0"
"3458","Howard College",2,0,1,2,2,2,1,6,24,3,13,"0","0","0","0","0","1","0","0","0"
"3459","Howard Payne University",3,0,1,1,3,4,2,6,16,7,18,"0","0","0","0","0","0","0","0","0"
"3460","Huston-Tillotson University",3,0,1,1,3,4,2,6,16,5,3,"1","0","0","0","0","0","0","0","0"
"3461","University of the Incarnate Word",3,0,1,1,3,4,2,6,10,15,5,"0","0","0","0","0","1","0","0","0"
"3462","International Business College-El Paso",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3463","Jacksonville College-Main Campus",2,0,1,1,2,2,2,6,24,10,2,"0","0","0","0","0","1","0","0","0"
"3464","Jarvis Christian College",3,0,1,1,3,3,2,6,16,5,18,"1","0","0","0","0","0","0","0","0"
"3465","KD Conservatory College of Film and Dramatic Arts",2,0,1,1,2,2,3,6,5,12,2,"0","0","0","0","0","0","0","0","0"
"3466","Kilgore College",2,0,1,1,2,2,1,6,32,10,13,"0","0","0","0","0","0","0","0","0"
"3467","Lamar University",3,0,1,1,3,4,1,6,10,15,6,"0","0","0","0","0","0","0","0","0"
"3468","Lamar State College-Orange",1,0,1,1,1,2,1,6,33,3,12,"0","0","0","0","0","0","0","0","0"
"3469","Lamar State College-Port Arthur",2,0,1,1,2,2,1,6,32,3,12,"0","0","0","0","0","1","0","0","0"
"3470","Laredo Beauty College Inc",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3471","Laredo College",2,0,1,1,2,2,1,6,29,3,14,"0","0","0","0","0","1","0","0","0"
"3472","Texas A & M International University",3,0,1,1,3,4,1,6,11,15,5,"0","0","0","0","0","1","0","0","0"
"3473","Lee College",1,0,1,1,1,2,1,6,32,3,13,"0","0","0","0","0","1","0","0","0"
"3474","LeTourneau University",3,0,1,1,3,4,2,6,12,17,3,"0","0","0","0","0","0","0","0","0"
"3475","Lincoln College of Technology-Grand Prairie",1,0,0,8,1,2,3,6,4,12,12,"0","0","0","0","0","0","0","0","0"
"3476","Lubbock Hair Academy",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3477","Lubbock Christian University",3,0,1,1,3,4,2,6,12,7,3,"0","0","0","0","0","0","0","0","0"
"3478","College of the Mainland",2,0,1,1,2,2,1,6,33,3,13,"0","0","0","0","0","1","0","0","0"
"3479","University of Mary Hardin-Baylor",3,0,1,1,3,4,2,6,11,7,7,"0","0","0","0","0","0","0","0","0"
"3480","McLennan Community College",2,0,1,1,2,2,1,6,13,3,14,"0","0","0","0","0","1","0","0","0"
"3481","McMurry University",3,0,1,1,3,4,2,6,16,5,4,"0","0","0","0","0","1","0","0","0"
"3482","Covenant School of Nursing and Allied Health",1,0,1,1,1,1,2,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3483","Midland College",2,0,1,1,2,3,1,6,7,13,19,"0","0","0","0","0","0","0","0","0"
"3484","Midwestern State University",3,0,1,1,3,4,1,6,11,15,6,"0","0","0","0","0","0","0","0","0"
"3485","William Edge Institute",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3486","Wade College",2,0,1,1,2,3,3,6,17,15,16,"0","0","0","0","0","0","0","0","0"
"3487","Southern Careers Institute-Austin",1,0,1,7,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3488","Mountain View College",2,0,1,1,2,2,1,6,24,3,13,"0","0","0","0","0","1","0","0","0"
"3489","Altierus Career College-San Antonio",1,0,1,2,1,1,2,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3490","Tint School of Makeup and Cosmetology-Irving",1,0,1,2,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3491","Navarro College",2,0,1,1,2,2,1,6,29,3,14,"0","0","0","0","0","0","0","0","0"
"3492","Neilson Beauty College",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3493","Lone Star College System",2,0,1,1,2,2,1,6,13,3,15,"0","0","0","0","0","1","0","0","0"
"3494","North Lake College",2,0,1,1,2,2,1,6,24,3,13,"0","0","0","0","1","1","0","0","0"
"3495","University of North Texas",3,0,1,1,3,4,1,6,8,7,8,"0","0","0","0","0","0","0","0","0"
"3496","Northeast Texas Community College",2,0,1,1,2,2,1,6,31,10,12,"0","0","0","0","0","1","0","0","0"
"3497","Oblate School of Theology",1.92616959064327,0,1,1,4,4,2,6,18,2,11,"0","0","0","0","0","0","0","0","0"
"3498","Ocean Corporation",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3499","Odessa College",2,0,1,1,2,2,1,6,30,3,13,"0","0","0","0","0","1","0","0","0"
"3500","Ogle School Hair Skin Nails-Arlington",1,0,1,3,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3501","Ogle School Hair Skin Nails-Ft Worth",1,0,1,3,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3502","Our Lady of the Lake University",3,0,1,1,3,4,2,6,10,5,3,"0","0","0","0","0","1","0","0","0"
"3503","The University of Texas Rio Grande Valley",3,0,1,1,3,4,1,6,9,15,8,"0","0","0","0","0","1","0","0","0"
"3504","Texas Southmost College",2,0,1,1,2,2,1,6,31,3,13,"0","0","0","0","0","1","0","0","0"
"3505","Panola College",1,0,1,1,1,2,1,6,30,10,12,"0","0","0","0","0","0","0","0","0"
"3506","Paris Junior College",2,0,1,1,2,2,1,6,31,3,13,"0","0","0","0","0","0","0","0","0"
"3507","Paul Quinn College",3,0,1,1,3,3,2,6,16,5,18,"1","0","0","0","0","0","0","0","0"
"3508","Prairie View A & M University",3,0,1,1,3,4,1,6,11,5,7,"1","0","0","0","0","0","0","0","0"
"3509","Ranger College",2,0,1,1,2,2,1,6,2,10,12,"0","0","0","0","0","0","0","0","0"
"3510","Aviation Institute of Maintenance-Houston",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3511","Rice University",3,0,1,1,3,4,2,6,8,8,7,"0","0","0","0","0","0","0","0","0"
"3512","Richland College",2,0,1,1,2,2,1,6,24,3,14,"0","0","0","0","1","1","0","0","0"
"3513","Brightwood College-McAllen",1,0,0,4,1,2,3,6,6,12,2,"0","0","0","0","0","0","0","0","0"
"3514","Saint Edward's University",3,0,1,1,3,4,2,6,11,9,6,"0","0","0","0","0","1","0","0","0"
"3515","St Philip's College",2,0,1,1,2,2,1,6,34,3,14,"1","0","0","0","0","0","0","0","0"
"3516","University of St Thomas",3,0,1,1,3,4,2,6,11,7,19,"0","0","0","0","1","1","0","0","0"
"3517","Sam Houston State University",3,0,1,1,3,4,1,6,10,7,8,"0","0","0","0","0","0","0","0","0"
"3518","San Antonio College",2,0,1,1,2,2,1,6,24,3,14,"0","0","0","0","0","1","0","0","0"
"3519","San Jacinto Community College",2,0,1,3,2,2,1,6,30,3,15,"0","0","0","0","0","1","0","0","0"
"3520","Schreiner University",3,0,1,1,3,4,2,6,16,7,4,"0","0","0","0","0","1","0","0","0"
"3521","Seguin Beauty School-Seguin",1,0,1,2,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3522","St. Mary's University",3,0,1,1,3,4,2,6,11,6,7,"0","0","0","0","0","1","0","0","0"
"3523","South Plains College",2,0,1,1,2,2,1,6,30,10,14,"0","0","0","0","0","1","0","0","0"
"3524","South Texas Barber College Inc",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3525","South Texas College of Law Houston",3,0,1,1,4,4,2,6,26,2,11,"0","0","0","0","0","0","0","0","0"
"3526","South Texas Vocational Technical Institute-Weslaco",1,0,1,2,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3527","Platt College-STVT-McAllen",1,0,0,10,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3528","Southern Methodist University",3,0,1,1,3,4,2,6,9,8,7,"0","0","0","0","0","0","0","0","0"
"3529","Southwest School of Business and Technical Careers-San Antonio",1,0,1,3,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3530","Southwest Texas Junior College",2,0,1,1,2,2,1,6,13,3,13,"0","0","0","0","0","1","0","0","0"
"3531","Southwestern Assemblies of God University",3,0,1,1,3,4,2,6,14,5,4,"0","0","0","0","0","0","0","0","0"
"3532","Southwestern University",3,0,1,1,3,3,2,6,15,8,4,"0","0","0","0","0","0","0","0","0"
"3533","Stephen F Austin State University",3,0,1,1,3,4,1,6,10,7,9,"0","0","0","0","0","0","0","0","0"
"3534","Texas State University",3,0,1,1,3,4,1,6,9,7,8,"0","0","0","0","0","1","0","0","0"
"3535","Southwestern Adventist University",3,0,1,1,3,4,2,6,16,5,18,"0","0","0","0","0","1","0","0","0"
"3536","Southwestern Christian College",2,0,1,1,2,3,2,6,17,4,18,"1","0","0","0","0","0","0","0","0"
"3537","Sul Ross State University",3,0,1,1,3,4,1,6,11,15,3,"0","0","0","0","0","1","0","0","0"
"3538","Tarleton State University",3,0,1,1,3,4,1,6,11,15,9,"0","0","0","0","0","0","0","0","0"
"3539","Tarrant County College District",2,0,1,1,2,2,1,6,13,3,15,"0","0","0","0","0","1","0","0","0"
"3540","Temple College",2,0,1,1,2,2,1,6,29,3,13,"0","0","0","0","0","1","0","0","0"
"3541","University of Texas Southwestern Medical Center",3,0,1,1,4,4,1,6,19,2,11,"0","0","0","0","0","0","0","0","0"
"3542","The University of Texas Health Science Center at San Antonio",3,0,1,1,3,4,1,6,19,5,19,"0","0","0","0","0","1","0","0","0"
"3543","The University of Texas Medical Branch",3,0,1,1,3,4,1,6,19,5,3,"0","0","0","0","0","0","0","0","0"
"3544","Texarkana College",2,0,1,1,2,2,1,6,34,3,13,"0","0","0","0","0","0","0","0","0"
"3545","Texas A & M University-Kingsville",3,0,1,1,3,4,1,6,9,5,6,"0","0","0","0","0","1","0","0","0"
"3546","Texas A & M University-College Station",3,0,1,2,3,4,1,6,8,8,9,"0","0","0","0","0","0","0","0","0"
"3547","The University of Texas at Arlington",3,0,1,1,3,4,1,6,8,13,9,"0","0","0","0","0","1","0","0","0"
"3548","The University of Texas at Austin",3,0,1,1,3,4,1,6,8,9,8,"0","0","0","0","0","0","0","0","0"
"3549","The University of Texas at Dallas",3,0,1,1,3,4,1,6,8,9,9,"0","0","0","0","0","0","0","0","0"
"3550","The University of Texas at El Paso",3,0,1,1,3,4,1,6,8,15,8,"0","0","0","0","0","1","0","0","0"
"3551","The University of Texas at Tyler",3,0,1,1,3,4,1,6,10,17,5,"0","0","0","0","0","0","0","0","0"
"3552","Texas Chiropractic College Foundation Inc",3,0,1,1,4,4,2,6,20,2,11,"0","0","0","0","0","0","0","0","0"
"3553","Texas Christian University",3,0,1,1,3,4,2,6,9,9,9,"0","0","0","0","0","0","0","0","0"
"3554","Texas College",3,0,1,1,3,3,2,6,16,5,18,"1","0","0","0","0","0","0","0","0"
"3555","University of North Texas Health Science Center",3,0,1,1,4,4,1,6,19,2,11,"0","0","0","0","0","0","0","0","0"
"3556","Texas Lutheran University",3,0,1,1,3,4,2,6,16,6,4,"0","0","0","0","0","1","0","0","0"
"3557","The University of Texas of the Permian Basin",3,0,1,1,3,4,1,6,11,13,6,"0","0","0","0","0","1","0","0","0"
"3558","The University of Texas at San Antonio",3,0,1,1,3,4,1,6,9,7,8,"0","0","0","0","0","1","0","0","0"
"3559","Brightwood College-Houston",1,0,1,2,1,2,3,6,3,12,2,"0","0","0","0","0","0","0","0","0"
"3560","Texas Southern University",3,0,1,1,3,4,1,6,9,5,5,"1","0","0","0","0","0","0","0","0"
"3561","Texas Tech University",3,0,1,1,3,4,1,6,8,9,9,"0","0","0","0","0","1","0","0","0"
"3562","Texas Wesleyan University",3,0,1,1,3,4,2,6,10,7,3,"0","0","0","0","0","1","0","0","0"
"3563","Texas Woman's University",3,0,1,1,3,4,1,6,10,15,8,"0","0","0","0","0","1","0","0","0"
"3564","Trinity University",3,0,1,1,3,4,2,6,14,8,4,"0","0","0","0","0","0","0","0","0"
"3565","The University of Texas Health Science Center at Houston",3,0,1,1,3,4,1,6,19,5,5,"0","0","0","0","0","0","0","0","0"
"3566","Texas Tech University Health Sciences Center",3,0,1,1,3,4,1,6,19,5,5,"0","0","0","0","0","0","0","0","0"
"3567","Tyler Junior College",2,0,1,1,2,2,1,6,7,15,5,"0","0","0","0","0","0","0","0","0"
"3568","Universal Technical Institute of Texas Inc.",1,0,1,3,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3569","UCAS University of Cosemtology Arts & Sciences-McAllen",1,0,1,3,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3570","Vernon College",1,0,1,1,1,2,1,6,31,3,12,"0","0","0","0","0","1","0","0","0"
"3571","Victoria Beauty College Inc",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3572","Victoria College",2,0,1,1,2,2,1,6,29,3,13,"0","0","0","0","0","1","0","0","0"
"3573","Vogue College of Cosmetology-McAllen",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"3574","Wayland Baptist University",3,0,1,1,3,4,2,6,11,13,19,"0","0","0","0","0","0","0","0","0"
"3575","Weatherford College",2,0,1,1,2,2,1,6,29,3,13,"0","0","0","0","0","0","0","0","0"
"3576","West Texas A & M University",3,0,1,1,3,4,1,6,11,17,6,"0","0","0","0","0","0","0","0","0"
"3577","Western Texas College",2,0,1,1,2,2,1,6,24,3,12,"0","0","0","0","0","1","0","0","0"
"3578","Wharton County Junior College",2,0,1,1,2,2,1,6,29,10,13,"0","0","0","0","1","1","0","0","0"
"3579","Wiley College",3,1,1,1,3,3,2,6,16,5,4,"1","0","0","0","0","0","0","0","0"
"3580","AmeriTech College-Provo",2,0,1,2,1,1,3,7,1,1,1,"0","0","0","0","0","0","0","0","0"
"3581","Bridgerland Technical College",1,0,1,1,1,1,1,7,1,1,1,"0","0","0","0","0","0","0","0","0"
"3582","Brigham Young University-Provo",3,0,1,1,3,4,2,7,9,8,8,"0","0","0","0","0","0","0","0","0"
"3583","Brigham Young University-Hawaii",3,0,1,1,3,3,2,8,16,9,4,"0","0","0","0","0","0","0","0","0"
"3584","Broadview University-West Jordan",2,0,1,8,2,4,3,7,17,15,16,"0","0","0","0","0","0","0","0","0"
"3585","Cameo College of Essential Beauty",1,0,1,1,1,1,3,7,1,1,1,"0","0","0","0","0","0","0","0","0"
"3586","Sherman Kendall Academy-Salt Lake City",1,0,1,1,1,1,3,7,1,1,1,"0","0","0","0","0","0","0","0","0"
"3587","Collectiv Academy",1,0,1,1,1,1,3,7,1,1,1,"0","0","0","0","0","0","0","0","0"
"3588","Davis Technical College",1,0,1,1,1,1,1,7,1,1,1,"0","0","0","0","0","0","0","0","0"
"3589","Dixie State University",2,0,1,1,2,3,1,7,17,14,5,"0","0","0","0","0","0","0","0","0"
"3590","Evans Hairstyling College-Cedar City",1,0,1,1,1,1,3,7,1,1,1,"0","0","0","0","0","0","0","0","0"
"3591","Evans Hairstyling College-St George",1,0,1,1,1,1,3,7,1,1,1,"0","0","0","0","0","0","0","0","0"
"3592","Paul Mitchell the School-Salt Lake City",1,0,1,2,1,1,3,7,1,1,1,"0","0","0","0","0","0","0","0","0"
"3593","Eagle Gate College-Murray",1,0,1,2,1,3,3,7,17,13,16,"0","0","0","0","0","0","0","0","0"
"3594","LDS Business College",2,0,1,1,2,2,2,7,29,11,12,"0","0","0","0","0","0","0","0","0"
"3595","Ogden-Weber Technical College",1,0,1,1,1,1,1,7,1,1,1,"0","0","0","0","0","0","0","0","0"
"3596","Snow College",2,0,1,2,2,3,1,7,7,4,5,"0","0","0","0","0","0","0","0","0"
"3597","Southern Utah University",3,0,1,1,3,4,1,7,11,6,5,"0","0","0","0","0","0","0","0","0"
"3598","Stevens-Henager College",2,0,1,7,2,3,2,7,20,4,16,"0","0","0","0","0","0","0","0","0"
"3599","Stevens-Henager College",2,0,0,7,3,3,2,7,15,4,16,"0","0","0","0","0","0","0","0","0"
"3600","Uintah Basin Technical College",1,0,1,1,1,1,1,7,1,1,1,"0","0","0","0","0","0","0","0","0"
"3601","Utah State University",3,0,1,1,3,4,1,7,9,17,8,"0","0","0","0","0","0","0","0","0"
"3602","Utah Valley University",3,0,1,1,3,4,1,7,14,15,8,"0","0","0","0","0","0","0","0","0"
"3603","Salt Lake Community College",2,0,1,1,2,2,1,7,13,3,15,"0","0","0","0","0","0","0","0","0"
"3604","University of Utah",3,0,1,1,3,4,1,7,8,17,8,"0","0","0","0","0","0","0","0","0"
"3605","Weber State University",3,0,1,1,3,4,1,7,11,15,8,"0","0","0","0","0","0","0","0","0"
"3606","Westminster College",3,0,1,1,3,4,2,7,11,7,3,"0","0","0","0","0","0","0","0","0"
"3607","Bennington College",3,0,1,1,3,4,2,1,15,6,18,"0","0","0","0","0","0","0","0","0"
"3608","Castleton University",3,0,1,1,3,4,1,1,16,5,4,"0","0","0","0","0","0","0","0","0"
"3609","Champlain College",3,0,1,1,3,4,2,1,11,17,6,"0","0","0","0","0","0","0","0","0"
"3610","Community College of Vermont",2,0,1,1,2,2,1,1,30,3,13,"0","0","0","0","0","0","0","0","0"
"3611","Goddard College",3,0,1,1,3,4,2,1,12,5,16,"0","0","0","0","0","0","0","0","0"
"3612","Green Mountain College",3,0,1,1,3,4,2,1,14,7,18,"0","0","0","0","0","0","0","0","0"
"3613","Northern Vermont University",3,0,1,1,3,4,1,1,14,5,3,"0","0","0","0","0","0","0","0","0"
"3614","Lyndon State College",1.92616959064327,0,1,1,3,4,1,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"3615","Marlboro College",3,0,1,2,3,3,2,1,15,5,18,"0","0","0","0","0","0","0","0","0"
"3616","Middlebury College",3,0,1,2,3,4,2,1,15,8,4,"0","0","0","0","0","0","0","0","0"
"3617","New England Culinary Institute",3,0,1,1,3,3,3,1,27,15,17,"0","0","0","0","0","0","0","0","0"
"3618","Norwich University",3,0,1,1,3,4,2,1,11,17,6,"0","0","0","0","0","0","0","0","0"
